room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Entire home/apt,4,False,0,1,10,96,1,3.9057465,0.9367733,2.20987,41.40549,Barcelona,weekend,429.331812757,188.5727489,377.248789
Entire home/apt,4,False,0,1,9,87,1,3.8996806,0.92934453,2.20953,41.4058,Barcelona,weekend,429.331812757,188.8923202,375.3525548
Entire home/apt,6,False,0,1,9,95,2,3.7638414,1.1187981,2.20922,41.4038,Barcelona,weekend,598.210254387,193.9360461,391.2993579
Private room,3,True,1,0,10,100,2,2.1472526,0.30850843,2.18827,41.40074,Barcelona,weekend,422.366001793,356.3925436,582.0817596
Private room,2,False,1,0,10,96,1,2.997057,0.83976775,2.19669,41.40517,Barcelona,weekend,472.995554753,253.8894511,490.9719312
Private room,2,False,1,0,9,90,1,3.0002863,0.83297426,2.19655,41.40533,Barcelona,weekend,405.37621897,254.2371925,488.7380789
Private room,3,False,1,0,10,88,1,2.9395051,0.79259253,2.19623,41.40478,Barcelona,weekend,405.37621897,258.842582,502.4414197
Entire home/apt,4,False,0,0,9,86,2,3.5780246,1.0217035,2.20311,41.40757,Barcelona,weekend,409.79356248500005,209.6111645,403.2656341
Entire home/apt,4,False,0,1,10,86,2,2.471997,0.52511907,2.1995,41.38875,Barcelona,weekend,407.584890764,269.3357439,656.2898847
Private room,3,False,0,0,10,96,1,1.2697412,0.13827163,13.43282,52.51778,Berlin,weekend,380.968963233,129.4200624,169.0008211
Entire home/apt,3,False,0,0,10,80,2,10.609103,1.0051543,13.28608,52.47096,Berlin,weekend,421.57380572,49.39802038,71.97811882
Entire home/apt,2,False,0,0,10,100,1,13.846341,2.6946356,13.21446,52.50643,Berlin,weekend,660.425820358,36.52539919,48.78437476
Entire home/apt,6,True,1,0,10,100,3,4.8639383,0.47682717,13.3789,52.48623,Berlin,weekend,470.709077296,114.4624222,140.022699
Entire home/apt,6,True,1,0,10,95,2,4.2976966,0.23539867,13.365,52.501,Berlin,weekend,694.035710938,180.9748404,198.3535995
Entire home/apt,4,False,0,1,10,98,2,7.7017612,0.33670494,13.3118,52.49683,Berlin,weekend,421.403197128,79.8824287,162.3246348
Entire home/apt,6,True,0,1,10,94,3,2.5438673,0.28528756,13.42742,52.50154,Berlin,weekend,504.489576541,128.3082075,169.8442796
Entire home/apt,5,False,0,1,9,93,2,6.8387032,0.5412674,13.31995,52.50596,Berlin,weekend,489.305412729,101.9721053,298.0150804
Entire home/apt,6,False,1,0,10,83,2,2.8587327,0.31664586,13.391,52.503,Berlin,weekend,584.16378426,252.3189355,228.9700136
Entire home/apt,6,False,1,0,9,96,2,3.7556584,0.2521252,13.38229,52.49692,Berlin,weekend,446.994484468,177.2675188,183.6635524
Entire home/apt,6,True,1,0,10,99,3,4.6721907,0.39188468,13.38099,52.48747,Berlin,weekend,470.709077296,119.6998165,145.2654514
Entire home/apt,4,False,0,0,10,98,2,3.2338426,0.66549647,13.45871,52.50987,Berlin,weekend,387.622697956,89.52545309,174.4430545
Entire home/apt,4,True,0,0,9,100,2,3.0768626,0.20643575,13.37581,52.5113,Berlin,weekend,579.898569679,424.584189,304.4321019
Entire home/apt,6,False,0,0,9,92,1,1.7790234,1.354658,13.43103,52.53676,Berlin,weekend,541.682247334,104.3890666,150.5175104
Entire home/apt,6,False,1,0,8,92,2,6.4429502,0.16719139,13.32745,52.50346,Berlin,weekend,492.546975758,120.0197585,355.4049913
Entire home/apt,2,False,0,1,10,96,1,4.268209,0.26345399,13.36523,52.50126,Berlin,weekend,438.464055379,183.877241,204.6126728
Entire home/apt,4,False,0,1,9,91,1,4.2972884,0.23793276,13.36441,52.50152,Berlin,weekend,455.524913557,184.0877033,206.8243422
Entire home/apt,5,False,0,1,10,96,1,4.1738782,0.35945576,13.36594,52.50212,Berlin,weekend,472.415163143,193.6034181,207.5947865
Entire home/apt,2,False,0,0,9,97,2,2.1106107,0.22344345,13.41376,52.50453,Berlin,weekend,1058.11442495,158.9867406,196.0692353
Private room,2,False,0,1,8,76,1,5.8458533,0.30091026,13.34073,52.49851,Berlin,weekend,539.1231186,129.0921333,237.3818414
Entire home/apt,5,False,0,1,9,87,2,8.8555555,1.2747478,13.28611,52.52121,Berlin,weekend,463.202299686,66.35907412,92.0131575
Entire home/apt,5,False,0,1,9,85,2,8.9239435,1.3178083,13.28508,52.52174,Berlin,weekend,496.982798931,65.00961303,89.89179423999998
Entire home/apt,2,False,0,0,10,100,2,5.2619185,2.2639053,13.47591,52.493,Berlin,weekend,414.749462478,65.85021814,81.96014599
Private room,2,False,1,0,10,80,1,2.9289641,0.49533686,13.45265,52.50899,Berlin,weekend,846.38917425,99.93206109,150.7707576
